Date,07/02/2020,Material,Brass,6min heating,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
29605,294.09,285.4,284.84,283.4,283.28,283.59,283.28,285.65
29744,294.09,285.4,284.9,283.4,283.28,283.59,283.34,285.65
29881,294.21,285.4,284.9,283.4,283.28,283.59,283.34,285.65
30018,294.21,285.4,284.84,283.4,283.21,283.59,283.34,285.71
30155,294.27,285.34,284.84,283.34,283.21,283.59,283.28,285.65
30292,294.27,285.4,284.84,283.34,283.28,283.59,283.28,285.65
30430,294.34,285.4,284.84,283.34,283.28,283.53,283.28,285.65
30568,294.34,285.4,284.9,283.34,283.21,283.53,283.28,285.65
30705,294.46,285.4,284.9,283.4,283.21,283.53,283.28,285.65
30842,294.65,285.46,284.9,283.4,283.21,283.53,283.34,285.65
30980,294.65,285.46,284.9,283.34,283.28,283.53,283.34,285.71
31117,294.71,285.46,284.9,283.34,283.28,283.53,283.28,285.65
31254,294.71,285.4,284.9,283.4,283.21,283.53,283.28,285.65
31392,294.77,285.4,284.84,283.4,283.21,283.53,283.28,285.65
31529,294.77,285.4,284.84,283.4,283.21,283.53,283.28,285.65
31667,294.9,285.4,284.84,283.4,283.21,283.59,283.28,285.71
31804,294.96,285.46,284.84,283.34,283.21,283.59,283.28,285.71
31941,294.96,285.46,284.9,283.34,283.21,283.59,283.34,285.71
32078,295.09,285.46,284.9,283.34,283.21,283.59,283.28,285.71
32216,295.09,285.46,284.84,283.34,283.21,283.59,283.28,285.71
32354,295.21,285.46,284.84,283.34,283.21,283.59,283.34,285.71
32491,295.21,285.46,284.84,283.34,283.21,283.59,283.34,285.71
32628,295.27,285.46,284.84,283.34,283.21,283.53,283.28,285.78
32765,295.4,285.46,284.84,283.34,283.21,283.53,283.28,285.78
32903,295.4,285.46,284.9,283.34,283.21,283.53,283.28,285.71
33040,295.52,285.46,284.9,283.4,283.28,283.53,283.28,285.71
33178,295.52,285.53,284.84,283.4,283.28,283.59,283.28,285.71
33315,295.59,285.53,284.84,283.34,283.21,283.59,283.28,285.78
33453,295.59,285.53,284.84,283.34,283.28,283.59,283.28,285.78
33590,295.65,285.53,284.84,283.34,283.28,283.59,283.28,285.71
33727,295.77,285.46,284.84,283.34,283.21,283.59,283.28,285.71
33864,295.77,285.46,284.84,283.34,283.21,283.59,283.28,285.84
34001,295.9,285.46,284.84,283.34,283.21,283.59,283.28,285.78
34140,295.9,285.53,284.9,283.34,283.21,283.53,283.28,285.78
34277,296.02,285.53,284.9,283.34,283.21,283.53,283.28,285.78
34414,296.02,285.53,284.9,283.34,283.21,283.59,283.28,285.78
34551,296.09,285.53,284.84,283.34,283.21,283.59,283.28,285.78
34689,296.21,285.53,284.84,283.34,283.21,283.53,283.28,285.78
34826,296.21,285.59,284.84,283.34,283.21,283.53,283.28,285.78
34964,296.4,285.59,284.9,283.34,283.28,283.53,283.28,285.78
35101,296.4,285.53,284.9,283.4,283.28,283.53,283.28,285.78
35238,296.46,285.53,284.84,283.4,283.21,283.53,283.28,285.84
35376,296.46,285.53,284.84,283.4,283.21,283.59,283.28,285.84
35513,296.59,285.59,284.84,283.4,283.21,283.59,283.28,285.78
35650,296.65,285.59,284.84,283.34,283.21,283.59,283.28,285.78
35788,296.65,285.59,284.9,283.34,283.21,283.59,283.28,285.78
35926,296.77,285.59,284.84,283.34,283.21,283.53,283.28,285.84
36063,296.77,285.59,284.84,283.34,283.28,283.53,283.28,285.84
36200,296.9,285.59,284.84,283.34,283.21,283.59,283.28,285.84
36337,296.9,285.59,284.84,283.34,283.21,283.53,283.28,285.84
36474,297.02,285.59,284.84,283.34,283.21,283.53,283.28,285.84
36612,297.09,285.59,284.84,283.34,283.21,283.53,283.28,285.84
36750,297.09,285.65,284.84,283.34,283.21,283.53,283.28,285.84
36887,297.21,285.65,284.84,283.4,283.21,283.53,283.28,285.84
37024,297.21,285.65,284.84,283.4,283.21,283.53,283.28,285.84
37161,297.34,285.59,284.84,283.34,283.21,283.53,283.28,285.84
37299,297.34,285.59,284.84,283.34,283.21,283.53,283.28,285.84
37436,297.46,285.65,284.84,283.4,283.21,283.53,283.28,285.9
37574,297.59,285.65,284.9,283.4,283.21,283.53,283.28,285.9
37711,297.59,285.65,284.9,283.34,283.21,283.53,283.21,285.84
37849,297.77,285.65,284.9,283.34,283.21,283.59,283.21,285.84
37986,297.77,285.65,284.9,283.34,283.28,283.59,283.28,285.84
38123,297.84,285.65,284.84,283.34,283.28,283.59,283.28,285.9
38260,297.84,285.65,284.84,283.34,283.21,283.59,283.28,285.9
38398,297.96,285.65,284.9,283.34,283.21,283.53,283.28,285.9
38536,297.96,285.65,284.84,283.34,283.28,283.59,283.21,285.9
38673,298.09,285.65,284.84,283.4,283.28,283.59,283.21,285.9
38810,298.21,285.65,284.9,283.4,283.21,283.53,283.28,285.9
38947,298.21,285.65,284.9,283.34,283.15,283.53,283.28,285.9
39085,298.34,285.71,284.9,283.34,283.15,283.53,283.28,285.96
