Date,21/02/2020,Material,Brass,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
340.675,288.9,288.34,287.9,287.09,286.09,285.46,284.84,283.03
342.048,288.84,288.34,287.84,287.09,286.15,285.46,284.84,283.09
343.422,288.84,288.34,287.84,287.09,286.15,285.46,284.84,283.09
344.795,288.78,288.28,287.84,287.03,286.15,285.46,284.84,283.09
346.169,288.78,288.28,287.84,287.03,286.09,285.46,284.78,283.03
347.543,288.78,288.21,287.78,287.03,286.09,285.4,284.78,283.03
348.916,288.71,288.21,287.71,287.03,286.09,285.46,284.78,283.03
350.29,288.65,288.15,287.71,287.03,286.03,285.46,284.84,283.03
351.663,288.65,288.15,287.71,286.96,286.09,285.46,284.78,283.09
353.037,288.59,288.15,287.71,286.96,286.03,285.46,284.78,283.03
354.411,288.65,288.21,287.71,287.03,286.09,285.46,284.84,283.09
355.784,288.59,288.09,287.65,286.9,286.03,285.4,284.78,283.09
357.158,288.59,288.09,287.65,286.96,286.03,285.46,284.78,283.09
