time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.81E-05
39.84,292.656757,295.9252615,293.9943649,290.7009147,288.0888205,286.3104252,285.1195585,,
41.21,292.4221702,295.7312413,293.9514099,290.7299559,288.1198857,286.3244931,285.1214779,,
42.59,292.1972531,295.5397268,293.9046645,290.7566333,288.1505741,286.3388129,285.1238882,,
43.96,291.9844648,295.3535503,293.8551435,290.7805768,288.1803911,286.3531676,285.1267285,,
45.34,291.7799652,295.1700197,293.8024418,290.8021649,288.2097253,286.3677544,285.1300152,,
46.71,291.586057,294.9917953,293.7476158,290.8211243,288.2381089,286.382347,285.1336766,,
48.08,291.4006248,294.8175127,293.6905629,290.8376686,288.2657184,286.3970338,285.1377123,,
49.46,291.2218536,294.6459065,293.6310948,290.8519483,288.2927117,286.4119041,285.1421333,,
50.83,291.0518304,294.4794143,293.5703048,290.863818,288.3186666,286.4267225,285.1468539,,
52.2,290.8887722,294.3167191,293.5079807,290.8734559,288.3437547,286.4415754,285.1518838,,
53.58,290.7311376,294.156607,293.4438482,290.8809783,288.3681262,286.4565499,285.1572425,,
54.95,290.5808204,294.0013245,293.3790169,290.886349,288.3914082,286.4714066,285.1628319,,
56.33,290.4352626,293.8485257,293.3127069,290.8897216,288.4139243,286.48634,285.1687138,,
57.7,290.2962412,293.7003437,293.2460305,290.8911228,288.4353356,286.5011111,285.1747835,,
59.07,290.162375,293.5555749,293.1786483,290.89066,288.4557991,286.5158064,285.1810637,,
60.45,290.0324565,293.4131144,293.1101882,290.8883858,288.4754473,286.5305104,285.1875838,,
61.82,289.9081045,293.2749412,293.0417578,290.8844089,288.4939916,286.5449886,285.1942309,,
63.2,289.7872556,293.1389517,292.9724647,290.8787465,288.5117015,286.5594316,285.2010837,,
64.57,289.671433,293.0070315,292.9034094,290.871554,288.5283218,286.57361,285.2080255,,
65.94,289.5595342,292.8780999,292.8341778,290.8628681,288.5439875,286.5876099,285.2150881,,
67.32,289.4505856,292.7511648,292.7643431,290.8526798,288.5588079,286.6015132,285.2223073,,
68.69,289.345981,292.627984,292.6949897,290.8412054,288.5725756,286.6151009,285.229562,,
70.06,289.2447455,292.5075475,292.6256773,290.8284424,288.5854102,286.628458,285.2368883,,
71.44,289.1460141,292.3889271,292.5559604,290.8143486,288.5974053,286.6416638,285.2443245,,
72.81,289.0510659,292.2737653,292.4869035,290.799191,288.6083989,286.6545124,285.2517477,,
74.19,288.958371,292.1603055,292.4175478,290.7828094,288.6185642,286.6671774,285.2592515,,
75.56,288.8691391,292.0501192,292.3489425,290.7654995,288.6277676,286.6794626,285.2667126,,
76.93,288.7825632,291.9423047,292.2806239,290.7472023,288.6361006,286.6914493,285.2741719,,
78.31,288.6979216,291.8360319,292.2121326,290.7278282,288.64363,286.7032106,285.2816701,,
79.68,288.6163296,291.7327742,292.1444932,290.7077096,288.6502625,286.7145664,285.2890859,,
81.05,288.5370606,291.6316888,292.077237,290.6867593,288.6560723,286.725594,285.2964615,,
82.43,288.4594617,291.5319985,292.0099031,290.6648634,288.6611098,286.7363622,285.3038383,,
83.8,288.3845641,291.4350871,291.9434904,290.642385,288.6653194,286.7467077,285.3110981,,
85.17,288.3117099,291.3401663,291.8775296,290.6192119,288.668758,286.7567033,285.3182839,,
86.55,288.2403056,291.2465074,291.8115624,290.5952096,288.67146,286.7664124,285.3254369,,
87.92,288.171307,291.1554126,291.7465606,290.5707663,288.6734043,286.7756895,285.3324439,,
89.3,288.1036312,291.0654982,291.6815894,290.5455638,288.6746374,286.7846657,285.3393976,,
90.67,288.0381882,290.9780157,291.6176023,290.520004,288.6751595,286.7932075,285.3461886,,
92.05,287.9739546,290.8916373,291.5536757,290.493749,288.6749963,286.8014367,285.3529076,,
93.42,287.9117976,290.8075668,291.4907451,290.4672129,288.6741681,286.8092318,285.3594497,,
94.79,287.8511853,290.7251253,291.4283526,290.4402387,288.6726939,286.8166521,285.3658565,,
