Date,25/02/2020,Inside/Outside,19.69/5.38
Time,Temperature,,
158968,279.78,,
159219,279.78,,
159471,279.78,,
159722,279.78,,
159973,279.78,,
160225,279.78,,
160476,279.78,,
160727,279.71,,
160977,279.78,,
161229,279.78,,
161480,279.78,,
161731,279.71,,
161983,279.71,,
162234,279.78,,
162485,279.71,,
162736,279.78,,
162988,279.71,,
163238,279.71,,
163489,279.71,,
163741,279.71,,
163992,279.71,,
164243,279.78,,
164494,279.71,,
164746,279.71,,
164997,279.71,,
165248,279.71,,
165499,279.65,,
165750,279.71,,
166001,279.65,,
166252,279.65,,
166504,279.71,,
166755,279.65,,
167006,279.65,,
167258,279.65,,
167508,279.65,,
167759,279.71,,
168010,279.71,,
168262,279.71,,
168513,279.65,,
168764,279.65,,
169016,279.65,,
169267,279.65,,
169518,279.71,,
169768,279.65,,
170020,279.65,,
170271,279.71,,
170522,279.65,,
170774,279.71,,
171025,279.65,,
171276,279.65,,
171527,279.71,,
171779,279.65,,
172029,279.65,,
172280,279.65,,
172532,279.65,,
172783,279.65,,
173034,279.65,,
173285,279.65,,
173537,279.65,,
173788,279.59,,
174039,279.59,,
174290,279.59,,
174541,279.59,,
174792,279.59,,
175044,279.65,,
175295,279.59,,
175546,279.59,,
175797,279.65,,
176049,279.65,,
176300,279.59,,
176550,279.65,,
176802,279.59,,
177053,279.59,,
177304,279.65,,
177555,279.59,,
177807,279.59,,
178058,279.59,,
178309,279.59,,
178561,279.53,,
178811,279.59,,
179062,279.65,,
179313,279.59,,
179565,279.59,,
179816,279.59,,
180067,279.59,,
180319,279.53,,
180570,279.59,,
180820,279.59,,
181071,279.59,,
181323,279.53,,
181574,279.53,,
181825,279.59,,
182077,279.59,,
182328,279.53,,
182579,279.59,,
182830,279.53,,
183081,279.53,,
183332,279.59,,
183583,279.59,,
183835,279.53,,
184086,279.59,,
184337,279.59,,
184588,279.53,,
184840,279.53,,
185091,279.53,,
185341,279.59,,
185593,279.53,,
185844,279.59,,
186095,279.53,,
186346,279.59,,
186598,279.53,,
186849,279.46,,
187100,279.53,,
187352,279.53,,
187602,279.53,,
187853,279.53,,
188104,279.53,,
188356,279.53,,
188607,279.59,,
188858,279.53,,
189110,279.53,,
189361,279.53,,
189612,279.53,,
189862,279.53,,
190114,279.53,,
190365,279.53,,
190616,279.53,,
190868,279.53,,
191119,279.53,,
191370,279.46,,
191621,279.53,,
191873,279.53,,
192123,279.46,,
192374,279.53,,
192626,279.53,,
192877,279.46,,
193128,279.53,,
193380,279.46,,
193631,279.46,,
193882,279.46,,
194132,279.46,,
194384,279.46,,
194635,279.46,,
194886,279.46,,
195138,279.53,,
195389,279.46,,
195640,279.46,,
195891,279.46,,
196143,279.46,,
196393,279.46,,
196644,279.46,,
196896,279.46,,
197147,279.46,,
197398,279.46,,
197649,279.46,,
197901,279.46,,
198152,279.46,,
198403,279.46,,
198654,279.4,,
198905,279.46,,
199156,279.46,,
199407,279.46,,
199659,279.46,,
199910,279.4,,
200161,279.4,,
200413,279.46,,
200664,279.4,,
200914,279.4,,
201166,279.46,,
201417,279.4,,
201668,279.46,,
201919,279.4,,
202171,279.4,,
202422,279.4,,
202673,279.4,,
202925,279.4,,
203175,279.4,,
203426,279.4,,
203677,279.4,,
203929,279.46,,
204180,279.4,,
204431,279.4,,
204683,279.4,,
204934,279.4,,
205185,279.46,,
205435,279.4,,
205687,279.4,,
205938,279.4,,
206189,279.4,,
206441,279.4,,
206692,279.46,,
206943,279.4,,
207194,279.4,,
207446,279.4,,
207696,279.4,,
207947,279.4,,
208199,279.34,,
208450,279.34,,
208701,279.4,,
208952,279.34,,
209204,279.4,,
209455,279.4,,
209705,279.4,,
209957,279.4,,
210208,279.34,,
210459,279.34,,
210711,279.34,,
210962,279.34,,
211213,279.4,,
211464,279.4,,
211716,279.34,,
211966,279.34,,
212217,279.4,,
212469,279.4,,
212720,279.4,,
212971,279.34,,
213222,279.34,,
213474,279.4,,
213725,279.4,,
213976,279.34,,
214227,279.34,,
214478,279.4,,
214729,279.4,,
214980,279.4,,
215232,279.34,,
215483,279.34,,
215734,279.4,,
215986,279.34,,
216237,279.34,,
216487,279.34,,
216738,279.4,,
216990,279.34,,
217241,279.34,,
217492,279.4,,
217744,279.34,,
217995,279.34,,
218246,279.34,,
218497,279.34,,
218748,279.34,,
218999,279.34,,
219250,279.34,,
219502,279.34,,
219753,279.34,,
220004,279.34,,
220255,279.34,,
220507,279.34,,
220758,279.4,,
221008,279.34,,
221260,279.34,,
221511,279.34,,
221762,279.34,,
222013,279.34,,
222265,279.34,,
222516,279.34,,
222767,279.34,,
223019,279.34,,
223269,279.34,,
223520,279.34,,
223772,279.34,,
224023,279.34,,
224274,279.34,,
224525,279.34,,
224777,279.34,,
225028,279.34,,
225278,279.34,,
225530,279.34,,
225781,279.34,,
226032,279.34,,
226283,279.28,,
226535,279.34,,
226786,279.28,,
227037,279.28,,
227289,279.28,,
227539,279.34,,
227790,279.28,,
228041,279.4,,
228293,279.28,,
228544,279.28,,
228795,279.28,,
229047,279.34,,
229298,279.28,,
229549,279.34,,
229799,279.28,,
230051,279.28,,
230302,279.28,,
230553,279.34,,
230805,279.28,,
231056,279.34,,
231307,279.28,,
231558,279.28,,
231810,279.28,,
232060,279.28,,
232311,279.28,,
232563,279.28,,
232814,279.28,,
233065,279.28,,
233317,279.28,,
233568,279.28,,
233819,279.28,,
234070,279.28,,
234321,279.21,,
234572,279.34,,
234823,279.21,,
235075,279.28,,
235326,279.28,,
235577,279.28,,
235828,279.28,,
236080,279.28,,
236331,279.21,,
236581,279.21,,
