Date,24/02/2020,Inside/Outside,20.50/6.94
Time,Temperature
51221.0,286.4
51472.0,286.4
51723.0,286.4
51975.0,286.34
52226.0,286.34
52476.0,286.34
52727.0,286.28
52979.0,286.28
53230.0,286.28
53481.0,286.28
53733.0,286.21
53984.0,286.21
54235.0,286.15
54486.0,286.15
54737.0,286.15
54988.0,286.15
55239.0,286.09
55491.0,286.03
55742.0,286.03
55993.0,286.03
56244.0,286.03
56496.0,285.96
56747.0,286.03
56997.0,285.96
57249.0,285.96
57500.0,285.9
57751.0,285.9
58002.0,285.9
58254.0,285.84
58505.0,285.78
58756.0,285.78
59008.0,285.84
59258.0,285.78
59509.0,285.71
59760.0,285.71
60012.0,285.71
60263.0,285.71
60514.0,285.65
60766.0,285.65
61017.0,285.59
61267.0,285.59
61519.0,285.59
61770.0,285.53
62021.0,285.59
62272.0,285.53
62524.0,285.53
62775.0,285.46
63026.0,285.46
63278.0,285.46
63528.0,285.4
63779.0,285.4
64030.0,285.4
64282.0,285.34
64533.0,285.34
64784.0,285.34
65036.0,285.34
65287.0,285.34
65538.0,285.28
65788.0,285.28
66040.0,285.28
66291.0,285.21
66542.0,285.21
66794.0,285.15
67045.0,285.15
67296.0,285.21
67547.0,285.09
67799.0,285.15
68049.0,285.09
68300.0,285.09
68552.0,285.09
68803.0,285.09
69054.0,285.03
69305.0,285.03
69557.0,285.03
69808.0,285.03
70059.0,284.96
70310.0,285.03
70561.0,284.96
70812.0,284.96
71063.0,284.9
71315.0,284.9
71566.0,284.9
71817.0,284.9
72069.0,284.9
72320.0,284.9
72570.0,284.84
72821.0,284.84
73073.0,284.84
73324.0,284.78
73575.0,284.78
73827.0,284.71
74078.0,284.71
74329.0,284.71
74579.0,284.71
74831.0,284.71
75082.0,284.71
75333.0,284.65
75585.0,284.71
75836.0,284.59
76087.0,284.65
76339.0,284.59
76590.0,284.59
76840.0,284.59
77091.0,284.53
77343.0,284.53
77594.0,284.53
77845.0,284.53
78097.0,284.46
78348.0,284.46
78599.0,284.46
78850.0,284.46
79101.0,284.46
79352.0,284.46
79603.0,284.4
79855.0,284.4
80106.0,284.4
80357.0,284.4
80608.0,284.34
80860.0,284.34
81111.0,284.28
81361.0,284.28
81613.0,284.28
81864.0,284.28
82115.0,284.28
82366.0,284.21
82618.0,284.21
82869.0,284.21
83120.0,284.21
83372.0,284.15
83622.0,284.15
83873.0,284.15
84124.0,284.15
84376.0,284.15
84627.0,284.09
84878.0,284.15
85130.0,284.09
85381.0,284.03
85632.0,284.03
85882.0,284.03
86134.0,284.03
86385.0,284.03
86636.0,284.03
86888.0,284.03
87139.0,283.96
87390.0,283.96
87641.0,283.96
87892.0,283.96
88143.0,283.9
88394.0,283.9
88646.0,283.84
88897.0,283.84
89148.0,283.9
89399.0,283.9
89651.0,283.84
89902.0,283.84
90152.0,283.78
90404.0,283.78
90655.0,283.84
90906.0,283.84
91158.0,283.78
91409.0,283.78
91660.0,283.78
91911.0,283.71
92163.0,283.71
92413.0,283.71
92664.0,283.71
92916.0,283.65
93167.0,283.65
93418.0,283.65
93669.0,283.71
93921.0,283.65
94172.0,283.59
94423.0,283.59
94674.0,283.65
94925.0,283.53
95176.0,283.53
95427.0,283.53
95679.0,283.53
95930.0,283.53
96181.0,283.46
96433.0,283.46
96684.0,283.53
96934.0,283.46
97185.0,283.46
97437.0,283.46
97688.0,283.4
97939.0,283.46
98191.0,283.34
98442.0,283.34
98693.0,283.4
98944.0,283.34
99195.0,283.34
99446.0,283.4
99697.0,283.28
99949.0,283.34
100200.0,283.28
100451.0,283.34
100703.0,283.28
100954.0,283.28
101204.0,283.21
101456.0,283.28
101707.0,283.21
101958.0,283.21
102210.0,283.15
102461.0,283.15
102712.0,283.15
102964.0,283.15
103215.0,283.09
103465.0,283.09
103716.0,283.09
103968.0,283.09
104219.0,283.09
104470.0,283.09
104722.0,283.09
104973.0,283.03
105224.0,283.03
105475.0,283.03
105726.0,283.03
105977.0,282.96
106228.0,282.96
106480.0,282.96
106731.0,282.96
106982.0,282.96
107234.0,282.96
107485.0,282.9
107736.0,282.9
107986.0,282.96
108238.0,282.9
108489.0,282.9
108740.0,282.84
108992.0,282.84
109243.0,282.84
109494.0,282.84
109745.0,282.84
109997.0,282.84
110247.0,282.78
110498.0,282.78
110750.0,282.71
111001.0,282.78
111252.0,282.78
111503.0,282.71
111755.0,282.71
112006.0,282.78
112257.0,282.71
112508.0,282.71
112759.0,282.71
113010.0,282.71
113261.0,282.65
113513.0,282.65
113764.0,282.65
114015.0,282.65
114267.0,282.71
114518.0,282.65
114768.0,282.65
115019.0,282.65
115271.0,282.59
115522.0,282.59
115773.0,282.59
116025.0,282.59
116276.0,282.59
116527.0,282.59
116777.0,282.53
117029.0,282.53
117280.0,282.53
117531.0,282.59
117783.0,282.53
118034.0,282.53
118285.0,282.46
118537.0,282.53
118788.0,282.53
119038.0,282.53
119289.0,282.53
119541.0,282.46
119792.0,282.46
120043.0,282.46
120295.0,282.46
120546.0,282.4
120797.0,282.4
121048.0,282.46
121299.0,282.4
121550.0,282.46
121801.0,282.4
122053.0,282.4
122304.0,282.4
122555.0,282.4
122806.0,282.34
123058.0,282.34
123309.0,282.34
123559.0,282.34
123811.0,282.34
124062.0,282.34
124313.0,282.34
124564.0,282.34
124816.0,282.34
125067.0,282.34
125318.0,282.28
125570.0,282.34
125820.0,282.28
126071.0,282.28
126322.0,282.28
126574.0,282.28
126825.0,282.28
127076.0,282.21
127328.0,282.28
127579.0,282.28
127830.0,282.28
128081.0,282.28
128332.0,282.21
128583.0,282.21
128834.0,282.28
129086.0,282.21
129337.0,282.21
129588.0,282.21
129840.0,282.21
130091.0,282.21
130341.0,282.15
130592.0,282.15
130844.0,282.15
131095.0,282.15
131346.0,282.21
131598.0,282.15
131849.0,282.15
132100.0,282.15
132350.0,282.15
132602.0,282.15
132853.0,282.09
133104.0,282.09
133356.0,282.09
133607.0,282.15
133858.0,282.09
134109.0,282.09
134361.0,282.09
134611.0,282.15
134862.0,282.09
135114.0,282.09
135365.0,282.09
135616.0,282.09
135867.0,282.09
136119.0,282.03
136370.0,282.09
136621.0,282.03
136872.0,282.03
137123.0,281.96
137374.0,281.96
137625.0,282.03
137877.0,282.03
138128.0,282.03
138379.0,281.96
138631.0,281.96
138882.0,281.96
139132.0,281.96
139383.0,281.96
139635.0,281.96
139886.0,281.96
140137.0,281.96
140389.0,282.03
140640.0,281.96
140891.0,281.96
141142.0,281.9
141393.0,281.9
141644.0,281.96
141895.0,281.9
142147.0,281.96
142398.0,281.9
142649.0,281.9
142900.0,281.9
143152.0,281.9
143403.0,281.9
143653.0,281.9
143905.0,281.84
144156.0,281.84
144407.0,281.84
144659.0,281.84
144910.0,281.9
145161.0,281.84
145412.0,281.9
145664.0,281.84
145914.0,281.84
146165.0,281.84
146417.0,281.84
146668.0,281.84
146919.0,281.78
147170.0,281.78
147422.0,281.78
147673.0,281.84
147923.0,281.78
148175.0,281.84
148426.0,281.78
148677.0,281.78
148928.0,281.78
149180.0,281.78
149431.0,281.78
149682.0,281.78
149934.0,281.71
150184.0,281.71
150435.0,281.78
150686.0,281.78
150938.0,281.71
151189.0,281.78
151440.0,281.71
151692.0,281.71
151943.0,281.71
152194.0,281.71
152444.0,281.71
152696.0,281.65
152947.0,281.71
153198.0,281.65
153450.0,281.65
153701.0,281.71
153952.0,281.65
154204.0,281.65
154455.0,281.65
154705.0,281.65
154956.0,281.65
155208.0,281.65
155459.0,281.59
155710.0,281.59
155962.0,281.59
156213.0,281.65
156464.0,281.59
156715.0,281.59
156966.0,281.59
157217.0,281.59
157468.0,281.59
157720.0,281.59
157971.0,281.59
158222.0,281.53
158473.0,281.53
158725.0,281.53
158976.0,281.53
159226.0,281.53
159478.0,281.53
159729.0,281.59
159980.0,281.53
160231.0,281.53
160483.0,281.53
160734.0,281.53
160985.0,281.53
161236.0,281.53
161487.0,281.53
161738.0,281.53
161989.0,281.46
162241.0,281.46
162492.0,281.53
162743.0,281.46
162995.0,281.53
163246.0,281.46
163496.0,281.46
163748.0,281.46
163999.0,281.46
164250.0,281.46
164501.0,281.46
164753.0,281.46
165004.0,281.46
165255.0,281.46
165507.0,281.46
165757.0,281.46
166008.0,281.46
166259.0,281.4
166511.0,281.4
166762.0,281.4
167013.0,281.4
167265.0,281.4
167516.0,281.4
167767.0,281.4
168017.0,281.4
168269.0,281.46
168520.0,281.4
168771.0,281.4
169023.0,281.4
169274.0,281.34
169525.0,281.4
169776.0,281.4
170028.0,281.34
170278.0,281.34
170529.0,281.4
170781.0,281.34
171032.0,281.4
171283.0,281.34
171535.0,281.34
171786.0,281.4
172037.0,281.34
172288.0,281.34
172539.0,281.34
172790.0,281.34
173041.0,281.34
173293.0,281.34
173544.0,281.34
173795.0,281.28
