Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
37841,351.09,334.21,320.9,310.65,303.34,296.65,293.4,280.34
37979,351.09,334.21,320.9,310.65,303.34,296.71,293.4,280.34
38116,350.96,334.21,320.96,310.65,303.34,296.71,293.4,280.34
38253,350.9,334.15,320.96,310.65,303.34,296.71,293.46,280.34
38390,350.9,334.15,320.9,310.59,303.34,296.71,293.46,280.34
38528,350.84,334.15,320.9,310.59,303.34,296.71,293.46,280.34
38665,350.84,334.15,320.96,310.65,303.34,296.71,293.46,280.34
38803,350.77,334.15,320.84,310.65,303.34,296.71,293.46,280.34
38940,350.77,334.09,320.84,310.65,303.34,296.71,293.46,280.34
39077,350.71,334.09,320.9,310.65,303.34,296.71,293.46,280.34
39215,350.71,334.09,320.9,310.65,303.34,296.71,293.46,280.34
39352,350.59,334.09,320.9,310.65,303.34,296.71,293.46,280.34
39489,350.59,334.03,320.9,310.65,303.34,296.71,293.46,280.34
39626,350.52,333.96,320.84,310.65,303.34,296.71,293.46,280.34
39763,350.46,333.96,320.84,310.65,303.34,296.71,293.46,280.34
39902,350.46,333.96,320.84,310.65,303.34,296.65,293.46,280.34
40039,350.4,333.96,320.84,310.65,303.34,296.65,293.46,280.34
40176,350.4,333.9,320.84,310.59,303.34,296.71,293.46,280.34
40313,350.27,333.9,320.84,310.59,303.34,296.71,293.46,280.34
40451,350.27,333.9,320.84,310.65,303.4,296.71,293.46,280.34
40588,350.21,333.84,320.84,310.65,303.4,296.71,293.52,280.34
40725,350.21,333.84,320.84,310.65,303.4,296.71,293.52,280.34
40862,350.15,333.78,320.84,310.65,303.4,296.71,293.52,280.4
41000,350.15,333.78,320.71,310.65,303.4,296.71,293.52,280.34
41138,350.09,333.78,320.71,310.65,303.4,296.71,293.52,280.34
41275,349.96,333.78,320.78,310.65,303.4,296.71,293.52,280.34
41412,349.96,333.71,320.78,310.59,303.4,296.77,293.52,280.34
41549,349.9,333.71,320.71,310.59,303.4,296.77,293.52,280.34
41687,349.9,333.71,320.71,310.59,303.4,296.77,293.52,280.34
41824,349.84,333.65,320.78,310.59,303.4,296.77,293.52,280.28
41961,349.84,333.65,320.78,310.65,303.4,296.71,293.52,280.34
42099,349.71,333.59,320.78,310.65,303.4,296.71,293.52,280.34
42236,349.71,333.59,320.78,310.65,303.4,296.71,293.52,280.34
42374,349.71,333.59,320.78,310.65,303.4,296.77,293.52,280.34
42511,349.71,333.59,320.71,310.65,303.4,296.77,293.52,280.4
42648,349.59,333.53,320.71,310.65,303.4,296.77,293.52,280.4
42785,349.52,333.53,320.71,310.65,303.4,296.77,293.59,280.34
42923,349.52,333.46,320.71,310.65,303.4,296.77,293.52,280.34
43060,349.4,333.46,320.71,310.65,303.4,296.77,293.52,280.34
43198,349.4,333.46,320.65,310.65,303.4,296.84,293.59,280.34
43335,349.34,333.4,320.65,310.65,303.4,296.84,293.59,280.34
43472,349.34,333.4,320.65,310.65,303.46,296.77,293.59,280.34
43610,349.27,333.34,320.65,310.65,303.46,296.84,293.59,280.34
43747,349.27,333.34,320.65,310.65,303.4,296.84,293.59,280.34
43884,349.21,333.34,320.65,310.65,303.4,296.77,293.59,280.34
