Date,01/02/2020,Material,Brass,3min6s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
42381,302.34,286.4,286.21,285.65,285.4,285.34,285.09,284.84
42519,302.52,286.4,286.21,285.65,285.4,285.34,285.09,284.84
42656,302.52,286.4,286.21,285.71,285.4,285.34,285.09,284.84
42793,302.71,286.46,286.21,285.71,285.4,285.28,285.09,284.84
42931,302.71,286.46,286.21,285.71,285.4,285.28,285.09,284.84
43068,302.84,286.53,286.21,285.71,285.46,285.34,285.09,284.84
43205,302.84,286.53,286.21,285.65,285.46,285.34,285.09,284.84
43343,302.96,286.53,286.21,285.65,285.4,285.28,285.09,284.84
43481,302.96,286.53,286.21,285.65,285.4,285.28,285.09,284.84
43618,303.09,286.53,286.21,285.65,285.4,285.34,285.15,284.84
43755,303.09,286.53,286.21,285.71,285.4,285.34,285.15,284.84
43892,303.27,286.53,286.21,285.71,285.4,285.34,285.09,284.84
44029,303.27,286.53,286.21,285.71,285.4,285.34,285.09,284.84
44167,303.4,286.53,286.21,285.71,285.4,285.28,285.15,284.84
44305,303.52,286.59,286.21,285.65,285.34,285.34,285.09,284.78
44442,303.52,286.59,286.21,285.65,285.34,285.34,285.09,284.78
44579,303.65,286.59,286.21,285.65,285.34,285.34,285.09,284.78
44717,303.65,286.59,286.15,285.65,285.34,285.34,285.09,284.78
44854,303.77,286.65,286.15,285.65,285.4,285.34,285.09,284.84
44991,303.77,286.65,286.21,285.65,285.4,285.34,285.09,284.84
45129,303.84,286.71,286.21,285.65,285.4,285.28,285.09,284.84
45266,303.84,286.71,286.21,285.65,285.4,285.28,285.09,284.84
45404,304.02,286.71,286.21,285.65,285.4,285.28,285.09,284.84
45541,304.02,286.71,286.15,285.65,285.4,285.28,285.09,284.84
45678,304.09,286.71,286.15,285.65,285.4,285.28,285.09,284.78
45815,304.09,286.71,286.15,285.65,285.4,285.28,285.09,284.78
45953,304.21,286.71,286.15,285.65,285.34,285.28,285.15,284.78
46091,304.27,286.78,286.15,285.65,285.34,285.28,285.15,284.78
46228,304.27,286.78,286.15,285.65,285.4,285.28,285.09,284.78
46365,304.34,286.84,286.15,285.65,285.4,285.28,285.09,284.78
46502,304.34,286.84,286.15,285.65,285.4,285.28,285.09,284.78
46640,304.4,286.84,286.15,285.65,285.4,285.28,285.09,284.84
46777,304.4,286.84,286.15,285.65,285.34,285.28,285.09,284.84
46915,304.46,286.84,286.15,285.65,285.4,285.34,285.09,284.84
47052,304.46,286.9,286.21,285.65,285.4,285.34,285.09,284.84
47190,304.59,286.9,286.21,285.65,285.34,285.34,285.15,284.84
47327,304.59,286.84,286.15,285.65,285.34,285.34,285.15,284.84
47464,304.59,286.84,286.21,285.65,285.4,285.28,285.09,284.78
47601,304.59,286.9,286.21,285.65,285.4,285.28,285.09,284.78
47738,304.71,286.9,286.15,285.65,285.4,285.34,285.09,284.84
47877,304.77,286.9,286.15,285.65,285.4,285.34,285.09,284.84
48014,304.77,286.96,286.21,285.65,285.4,285.34,285.15,284.84
