Date,19/02/2020,Material,Aluminum,,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
29737,331.15,314.4,303.46,295.27,289.77,286.28,284.78,280.15
29875,331.15,314.4,303.46,295.27,289.77,286.28,284.78,280.15
30012,331.09,314.46,303.46,295.27,289.77,286.28,284.84,280.21
30149,331.09,314.46,303.46,295.34,289.77,286.28,284.84,280.21
30286,331.09,314.46,303.46,295.34,289.77,286.28,284.84,280.15
30424,331.09,314.4,303.46,295.34,289.77,286.28,284.84,280.21
30561,331.09,314.4,303.46,295.34,289.77,286.28,284.84,280.21
30698,331.03,314.46,303.46,295.34,289.77,286.34,284.84,280.15
30835,331.03,314.46,303.46,295.34,289.77,286.34,284.84,280.15
30973,330.96,314.46,303.52,295.4,289.84,286.34,284.78,280.21
31111,330.96,314.46,303.52,295.4,289.84,286.28,284.78,280.21
31248,330.9,314.46,303.52,295.34,289.84,286.28,284.84,280.28
31385,330.9,314.46,303.52,295.4,289.84,286.34,284.84,280.21
31522,330.84,314.46,303.52,295.4,289.84,286.34,284.9,280.21
31660,330.9,314.46,303.52,295.4,289.84,286.28,284.84,280.21
31797,330.9,314.46,303.52,295.4,289.84,286.28,284.84,280.21
31934,330.78,314.46,303.59,295.4,289.9,286.28,284.9,280.15
32071,330.78,314.4,303.59,295.4,289.9,286.34,284.9,280.21
32209,330.78,314.4,303.59,295.46,289.9,286.34,284.9,280.21
32347,330.78,314.46,303.59,295.46,289.9,286.34,284.9,280.21
32484,330.71,314.46,303.59,295.46,289.96,286.34,284.84,280.21
32621,330.71,314.46,303.65,295.46,289.96,286.4,284.84,280.21
32758,330.71,314.46,303.65,295.46,289.9,286.4,284.9,280.21
32896,330.59,314.46,303.65,295.46,289.96,286.4,284.9,280.21
33033,330.59,314.46,303.65,295.46,289.96,286.4,284.9,280.21
33170,330.59,314.46,303.65,295.46,289.96,286.4,284.9,280.21
33307,330.59,314.46,303.65,295.46,289.96,286.4,284.9,280.21
33445,330.59,314.46,303.65,295.52,289.96,286.4,284.9,280.21
33583,330.59,314.46,303.65,295.52,289.96,286.46,284.9,280.15
33720,330.53,314.46,303.65,295.52,289.96,286.46,284.9,280.15
33857,330.53,314.46,303.65,295.52,289.96,286.4,284.9,280.21
33994,330.46,314.46,303.65,295.52,289.96,286.4,284.9,280.21
34131,330.46,314.46,303.71,295.52,290.02,286.46,284.9,280.21
34269,330.46,314.46,303.71,295.52,290.02,286.46,284.9,280.21
34406,330.4,314.46,303.71,295.52,290.02,286.46,284.96,280.21
34544,330.4,314.46,303.71,295.59,290.02,286.4,284.96,280.15
34681,330.34,314.46,303.71,295.59,290.02,286.4,284.9,280.15
34819,330.34,314.46,303.71,295.52,290.02,286.46,284.9,280.21
34956,330.34,314.46,303.71,295.52,290.02,286.46,284.96,280.21
35093,330.34,314.46,303.71,295.52,290.02,286.46,284.96,280.21
35230,330.28,314.4,303.71,295.52,290.02,286.46,284.96,280.21
35367,330.21,314.4,303.71,295.59,290.02,286.46,284.96,280.21
35505,330.21,314.46,303.71,295.59,290.09,286.53,284.96,280.15
35642,330.21,314.46,303.71,295.59,290.09,286.53,284.96,280.15
35780,330.21,314.46,303.71,295.59,290.09,286.46,284.96,280.15
35917,330.15,314.46,303.71,295.59,290.15,286.46,284.96,280.21
36055,330.15,314.46,303.71,295.59,290.15,286.46,284.96,280.21
36192,330.09,314.46,303.71,295.59,290.09,286.46,284.96,280.21
36329,330.09,314.46,303.77,295.59,290.09,286.53,284.9,280.21
36466,330.09,314.46,303.77,295.59,290.15,286.53,284.9,280.21
36603,330.03,314.46,303.77,295.65,290.15,286.53,284.96,280.21
36741,330.03,314.46,303.84,295.65,290.15,286.53,284.96,280.21
36878,329.96,314.46,303.84,295.71,290.15,286.53,284.96,280.21
37016,329.96,314.46,303.77,295.71,290.15,286.59,284.96,280.21
37153,329.9,314.4,303.77,295.65,290.15,286.59,285.03,280.21
37291,329.9,314.4,303.84,295.65,290.15,286.53,284.96,280.21
37428,329.84,314.34,303.84,295.71,290.21,286.53,284.96,280.28
37565,329.84,314.34,303.84,295.71,290.21,286.59,285.03,280.15
37702,329.84,314.4,303.84,295.71,290.15,286.53,285.03,280.15
37839,329.78,314.4,303.84,295.71,290.15,286.53,285.03,280.21
37977,329.78,314.4,303.84,295.71,290.21,286.59,285.03,280.21
38114,329.71,314.34,303.84,295.71,290.21,286.59,285.09,280.21
38252,329.71,314.34,303.84,295.71,290.21,286.59,285.09,280.21
38389,329.71,314.4,303.84,295.71,290.21,286.59,285.03,280.21
38526,329.71,314.4,303.84,295.71,290.21,286.59,285.03,280.21
38664,329.59,314.4,303.9,295.71,290.21,286.59,285.03,280.21
38801,329.59,314.4,303.9,295.71,290.21,286.59,285.03,280.21
38938,329.59,314.34,303.9,295.77,290.21,286.59,285.03,280.21
39075,329.53,314.34,303.9,295.77,290.21,286.59,285.09,280.21
39213,329.53,314.34,303.84,295.77,290.27,286.59,285.09,280.21
39350,329.53,314.34,303.9,295.77,290.27,286.59,285.09,280.28
39487,329.53,314.34,303.9,295.84,290.27,286.65,285.09,280.21
39625,329.46,314.28,303.9,295.84,290.27,286.65,285.03,280.21
39762,329.46,314.28,303.9,295.84,290.27,286.59,285.09,280.28
39900,329.4,314.34,303.9,295.84,290.27,286.65,285.09,280.28
40037,329.4,314.28,303.9,295.84,290.27,286.65,285.09,280.21
40174,329.4,314.28,303.9,295.84,290.27,286.65,285.09,280.21
40311,329.28,314.34,303.9,295.84,290.27,286.65,285.09,280.21
40449,329.28,314.34,303.9,295.84,290.27,286.71,285.09,280.21
40586,329.28,314.28,303.96,295.84,290.27,286.71,285.09,280.21
40724,329.28,314.28,303.96,295.9,290.34,286.65,285.09,280.28
40861,329.15,314.28,303.9,295.9,290.34,286.65,285.09,280.28
40998,329.15,314.21,303.9,295.9,290.34,286.65,285.09,280.21
41136,329.15,314.21,303.9,295.9,290.34,286.65,285.09,280.21
41273,329.15,314.28,303.9,295.9,290.34,286.65,285.15,280.21
41410,329.09,314.28,303.9,295.9,290.34,286.65,285.15,280.28
41547,329.09,314.21,303.9,295.9,290.34,286.65,285.09,280.28
41684,329.09,314.21,303.9,295.9,290.34,286.71,285.09,280.21
41822,329.03,314.21,303.9,295.9,290.34,286.71,285.15,280.21
41959,329.03,314.21,303.9,295.9,290.4,286.71,285.15,280.21
42097,328.96,314.21,303.96,295.9,290.4,286.71,285.15,280.21
42234,328.96,314.15,303.96,295.9,290.34,286.71,285.15,280.21
42372,328.9,314.15,303.96,295.96,290.4,286.71,285.15,280.28
42509,328.9,314.21,303.9,295.9,290.4,286.71,285.15,280.28
42646,328.9,314.21,303.9,295.9,290.4,286.71,285.15,280.21
42783,328.78,314.21,303.96,296.02,290.4,286.71,285.15,280.21
42920,328.78,314.09,303.96,296.02,290.46,286.71,285.09,280.21
43058,328.78,314.09,303.96,295.96,290.46,286.71,285.09,280.21
43195,328.78,314.21,303.96,295.96,290.46,286.78,285.15,280.21
43333,328.71,314.21,303.96,296.02,290.46,286.78,285.15,280.15
43470,328.71,314.15,303.96,296.02,290.46,286.78,285.15,280.15
43608,328.71,314.15,303.96,296.02,290.46,286.78,285.15,280.21
43745,328.71,314.09,303.96,296.02,290.46,286.78,285.21,280.21
43882,328.59,314.09,303.96,296.02,290.46,286.78,285.21,280.21
