Date,01/02/2020,Material,Brass,3min47s,,,,
Time,TempOne,TempTwo,TempThree,TempFour,TempFive,TempSix,TempSeven,Atmospheric
35924,288.65,285.53,285.21,285.53,285.46,285.71,285.84,284.84
36062,288.71,285.53,285.21,285.53,285.46,285.71,285.84,284.84
36199,288.71,285.53,285.15,285.53,285.53,285.71,285.78,284.78
36337,288.71,285.53,285.15,285.59,285.53,285.71,285.78,284.78
36474,288.84,285.53,285.15,285.59,285.53,285.71,285.78,284.78
36612,288.84,285.59,285.15,285.59,285.53,285.71,285.78,284.78
36749,288.84,285.53,285.21,285.59,285.53,285.71,285.78,284.78
36886,288.84,285.53,285.21,285.53,285.53,285.71,285.78,284.78
37023,288.84,285.53,285.21,285.53,285.53,285.65,285.78,284.78
37160,288.9,285.53,285.21,285.59,285.53,285.65,285.78,284.84
37299,288.9,285.59,285.21,285.59,285.53,285.71,285.78,284.84
37436,288.9,285.59,285.21,285.53,285.53,285.71,285.78,284.84
37573,288.9,285.59,285.21,285.53,285.53,285.65,285.78,284.84
37710,288.9,285.53,285.21,285.53,285.53,285.65,285.78,284.78
37848,288.9,285.53,285.21,285.53,285.53,285.65,285.78,284.78
37985,288.9,285.59,285.21,285.53,285.53,285.65,285.78,284.78
38123,288.9,285.59,285.21,285.53,285.53,285.65,285.78,284.78
38260,288.9,285.59,285.21,285.53,285.46,285.71,285.78,284.78
38397,288.9,285.59,285.21,285.53,285.46,285.71,285.78,284.78
38535,288.9,285.59,285.21,285.53,285.46,285.71,285.78,284.78
38672,288.96,285.59,285.21,285.53,285.46,285.71,285.84,284.84
38809,288.96,285.59,285.21,285.53,285.53,285.65,285.84,284.78
38946,288.96,285.59,285.21,285.53,285.46,285.65,285.78,284.78
39085,288.96,285.59,285.15,285.53,285.46,285.65,285.78,284.84
39222,289.03,285.59,285.15,285.53,285.53,285.71,285.78,284.84
39359,289.03,285.59,285.21,285.53,285.53,285.71,285.78,284.78
39496,289.03,285.59,285.21,285.53,285.46,285.71,285.78,284.78
39633,289.03,285.59,285.21,285.53,285.46,285.71,285.78,284.78
39771,289.03,285.59,285.21,285.59,285.46,285.71,285.78,284.78
39909,289.03,285.59,285.21,285.59,285.46,285.71,285.78,284.84
40046,289.03,285.59,285.15,285.46,285.53,285.65,285.78,284.78
40183,289.03,285.59,285.15,285.46,285.46,285.65,285.71,284.78
40321,289.09,285.65,285.15,285.46,285.46,285.65,285.71,284.78
40458,289.09,285.65,285.15,285.46,285.46,285.71,285.71,284.78
40595,289.09,285.59,285.15,285.53,285.46,285.71,285.78,284.78
40732,289.09,285.59,285.21,285.53,285.53,285.65,285.78,284.78
40870,289.09,285.65,285.21,285.46,285.53,285.65,285.78,284.71
41008,289.09,285.65,285.21,285.53,285.46,285.65,285.78,284.78
41145,289.09,285.59,285.21,285.53,285.46,285.65,285.78,284.78
41282,289.21,285.59,285.15,285.53,285.53,285.71,285.78,284.78
41419,289.21,285.59,285.15,285.53,285.53,285.71,285.78,284.78
41556,289.46,285.59,285.21,285.46,285.46,285.65,285.78,284.78
41694,289.46,285.59,285.21,285.46,285.46,285.65,285.78,284.78
41832,289.65,285.59,285.21,285.53,285.46,285.65,285.71,284.71
41969,289.65,285.59,285.21,285.53,285.53,285.65,285.71,284.78
42106,289.71,285.65,285.21,285.53,285.53,285.65,285.78,284.78
42244,289.71,285.65,285.21,285.53,285.53,285.65,285.78,284.78
42381,289.71,285.65,285.21,285.46,285.53,285.65,285.78,284.78
42518,289.71,285.65,285.21,285.46,285.46,285.65,285.78,284.78
42656,289.71,285.65,285.21,285.53,285.46,285.65,285.78,284.78
42793,289.84,285.65,285.21,285.53,285.46,285.65,285.78,284.78
42931,289.84,285.65,285.21,285.46,285.46,285.65,285.78,284.78
43068,289.84,285.65,285.21,285.46,285.46,285.65,285.78,284.78
43205,290.09,285.65,285.21,285.53,285.46,285.65,285.78,284.78
43342,290.09,285.65,285.21,285.46,285.46,285.65,285.71,284.78
43481,290.27,285.65,285.21,285.46,285.46,285.71,285.71,284.78
43618,290.27,285.65,285.21,285.46,285.46,285.71,285.71,284.78
43755,290.52,285.65,285.21,285.46,285.46,285.65,285.71,284.84
43892,290.52,285.65,285.21,285.46,285.46,285.65,285.78,284.78
44029,290.71,285.65,285.21,285.46,285.46,285.65,285.78,284.78
44167,290.71,285.71,285.21,285.46,285.46,285.65,285.71,284.84
44304,290.65,285.71,285.21,285.46,285.46,285.65,285.71,284.84
44442,290.59,285.71,285.21,285.53,285.46,285.65,285.71,284.84
44579,290.59,285.71,285.28,285.53,285.46,285.65,285.78,284.84
44717,290.65,285.71,285.28,285.53,285.4,285.65,285.78,284.78
44854,290.65,285.71,285.34,285.53,285.4,285.65,285.71,284.78
44991,290.65,285.71,285.34,285.53,285.4,285.65,285.71,284.78
45128,290.65,285.71,285.28,285.53,285.4,285.65,285.78,284.84
45266,290.65,285.71,285.34,285.46,285.46,285.65,285.78,284.84
45404,290.65,285.71,285.34,285.46,285.46,285.65,285.71,284.78
45541,290.65,285.71,285.28,285.46,285.4,285.65,285.71,284.78
45678,290.71,285.78,285.28,285.46,285.4,285.65,285.71,284.78
45815,290.71,285.78,285.28,285.46,285.53,285.65,285.71,284.78
45953,290.65,285.78,285.28,285.46,285.46,285.65,285.71,284.78
46090,290.65,285.78,285.21,285.46,285.46,285.65,285.78,284.71
46228,290.77,285.78,285.28,285.46,285.46,285.65,285.78,284.71
46365,290.84,285.78,285.28,285.46,285.46,285.65,285.65,284.78
46502,290.84,285.78,285.28,285.46,285.46,285.65,285.65,284.78
46640,290.84,285.84,285.28,285.46,285.46,285.65,285.71,284.84
46777,290.84,285.84,285.28,285.53,285.46,285.65,285.71,284.84
46914,290.9,285.84,285.28,285.53,285.46,285.65,285.71,284.78
47052,290.9,285.78,285.28,285.53,285.46,285.65,285.71,284.78
47190,290.96,285.78,285.28,285.53,285.46,285.65,285.71,284.78
47327,291.02,285.84,285.28,285.46,285.46,285.65,285.71,284.84
47464,291.02,285.84,285.21,285.46,285.46,285.65,285.71,284.84
47601,291.09,285.84,285.21,285.53,285.46,285.65,285.65,284.78
47738,291.09,285.84,285.28,285.53,285.46,285.65,285.65,284.78
47877,291.09,285.84,285.28,285.46,285.46,285.65,285.71,284.78
48014,291.09,285.84,285.28,285.46,285.46,285.65,285.71,284.84
48151,291.15,285.84,285.28,285.46,285.46,285.59,285.71,284.84
48288,291.21,285.84,285.28,285.46,285.46,285.59,285.71,284.71
48425,291.21,285.84,285.28,285.46,285.46,285.65,285.71,284.71
48563,291.21,285.84,285.28,285.46,285.46,285.65,285.71,284.78
48700,291.21,285.84,285.28,285.46,285.46,285.65,285.71,284.78
48838,291.27,285.84,285.28,285.53,285.4,285.65,285.71,284.78
48975,291.27,285.9,285.28,285.53,285.46,285.65,285.71,284.78
49113,291.27,285.9,285.28,285.46,285.46,285.59,285.71,284.78
49250,291.27,285.9,285.28,285.46,285.4,285.59,285.71,284.78
49387,291.34,285.9,285.28,285.53,285.4,285.65,285.71,284.78
49524,291.34,285.9,285.28,285.53,285.4,285.65,285.65,284.78
49662,291.34,285.9,285.28,285.46,285.4,285.65,285.65,284.78
49800,291.46,285.9,285.28,285.46,285.4,285.65,285.71,284.78
49937,291.46,285.9,285.28,285.46,285.4,285.59,285.71,284.78
50074,291.46,285.9,285.28,285.46,285.46,285.59,285.71,284.78
50211,291.46,285.96,285.28,285.46,285.46,285.65,285.71,284.78
50349,291.52,285.96,285.28,285.46,285.4,285.65,285.71,284.78
50487,291.59,285.96,285.28,285.46,285.46,285.65,285.71,284.84
50624,291.59,285.96,285.28,285.46,285.46,285.65,285.71,284.84
50761,291.65,285.96,285.28,285.46,285.46,285.65,285.71,284.78
50898,291.65,286.03,285.34,285.46,285.46,285.65,285.71,284.78
51036,291.71,286.03,285.28,285.46,285.4,285.65,285.71,284.84
51173,291.71,285.96,285.28,285.46,285.4,285.65,285.71,284.78
51311,291.71,285.96,285.28,285.46,285.4,285.65,285.71,284.78
51448,291.71,285.96,285.28,285.53,285.4,285.65,285.71,284.84
51586,291.71,285.96,285.21,285.53,285.4,285.65,285.71,284.84
51723,291.77,285.96,285.21,285.46,285.4,285.65,285.65,284.78
51860,291.77,286.03,285.28,285.46,285.46,285.59,285.65,284.78
51997,291.77,285.96,285.28,285.46,285.4,285.59,285.71,284.84
52134,291.77,285.96,285.28,285.46,285.4,285.65,285.71,284.78
52273,291.84,286.03,285.28,285.46,285.4,285.65,285.65,284.78
52410,291.84,286.03,285.28,285.46,285.4,285.65,285.65,284.84
52547,291.84,286.03,285.21,285.46,285.4,285.65,285.65,284.84
52684,291.84,286.03,285.21,285.46,285.4,285.65,285.65,284.78
52822,291.84,286.03,285.28,285.46,285.4,285.65,285.71,284.78
52959,291.84,286.03,285.28,285.46,285.4,285.65,285.71,284.78
53097,291.84,286.03,285.28,285.46,285.46,285.65,285.65,284.78
53234,291.9,286.03,285.28,285.46,285.4,285.65,285.71,284.84
53371,291.9,286.03,285.28,285.46,285.4,285.59,285.71,284.78
53509,291.9,286.03,285.28,285.46,285.4,285.59,285.65,284.78
53646,291.9,286.03,285.28,285.46,285.4,285.65,285.65,284.84
53783,291.9,286.09,285.28,285.46,285.4,285.65,285.71,284.84
53920,291.96,286.09,285.28,285.46,285.4,285.65,285.71,284.84
54059,291.96,286.09,285.28,285.46,285.46,285.65,285.65,284.84
54196,291.9,286.09,285.28,285.46,285.46,285.59,285.65,284.84
54333,291.9,286.09,285.28,285.46,285.4,285.65,285.65,284.84
54470,291.96,286.09,285.28,285.46,285.4,285.65,285.71,284.84
54607,291.96,286.09,285.28,285.46,285.46,285.65,285.71,284.84
54745,291.96,286.09,285.28,285.46,285.46,285.65,285.71,284.84
54883,292.02,286.15,285.34,285.46,285.46,285.65,285.71,284.78
55020,292.02,286.15,285.34,285.46,285.4,285.65,285.65,284.78
55157,292.09,286.15,285.28,285.46,285.4,285.59,285.65,284.78
55294,292.09,286.15,285.28,285.46,285.4,285.59,285.71,284.84
55432,292.15,286.15,285.28,285.46,285.4,285.65,285.71,284.84
55569,292.15,286.15,285.28,285.46,285.4,285.65,285.65,284.84
55706,292.15,286.15,285.28,285.46,285.4,285.65,285.65,284.84
55844,292.21,286.15,285.28,285.46,285.46,285.65,285.65,284.84
55982,292.21,286.15,285.28,285.46,285.46,285.65,285.71,284.84
56119,292.21,286.15,285.28,285.46,285.4,285.65,285.71,284.84
56256,292.21,286.15,285.28,285.46,285.46,285.65,285.65,284.84
56393,292.27,286.15,285.34,285.46,285.46,285.59,285.65,284.84
56530,292.27,286.21,285.28,285.46,285.4,285.59,285.65,284.78
56669,292.27,286.21,285.28,285.46,285.4,285.59,285.65,284.78
56806,292.27,286.21,285.34,285.46,285.4,285.65,285.71,284.84
56943,292.27,286.21,285.34,285.46,285.4,285.65,285.65,284.84
57080,292.4,286.21,285.28,285.46,285.46,285.65,285.65,284.84
